0,307,303,527,303,527,325,307,325,烟台旦马汽车配件公司,name
1,302,372,561,372,561,394,302,394,湖北省十堰市温泉路511号,location
2,304,451,460,451,460,472,304,472,2020年10月8日， 2022年2月24日,start_date
3,304,349,436,349,436,371,304,371,股份有限公司,type
4,299,415,607,415,607,438,299,438,施妍萍，胡佩芳，师民，贺秀秀,legal_person
5,679,276,876,276,876,290,679,290,71748843351915390M,social_credit_code
6,601,276,678,276,678,298,601,298,注册号,social_credit_code_key
7,104,307,299,307,299,335,104,335,名称,name_key
8,102,342,301,342,301,372,102,372,企业类型,type_key
9,102,378,298,378,298,409,102,409,住所,location_key
10,101,416,297,416,297,446,101,446,法定代表人,legal_person_key
11,97,451,297,451,297,484,97,484,成立日期,start_date_key
